Job ID,parent,MB-seconds,vcore-seconds,AM Host,WF-Type,WF-Name,Application-Name,Uber job,Number of maps,Number of reduces,Job state,Counters,FILE Number of bytes read,FILE Number of bytes written,FILE Number of read operations,FILE Number of large read operations,FILE Number of write operations,HDFS Number of bytes read,HDFS Number of bytes written,HDFS Number of read operations,HDFS Number of large read operations,HDFS Number of write operations,Launched map tasks,Other local map tasks,Total time spent by all maps in occupied slots ms,TOTAL_LAUNCHED_UBERTASKS,NUM_UBER_SUBMAPS,Total time spent by all map tasks ms,Total vcore-seconds taken by all map tasks,Total megabyte-seconds taken by all map tasks,Map input records,Map output records,Input split bytes,Spilled Records,Failed Shuffles,Merged Map outputs,GC time elapsed ms,CPU time spent ms,Physical memory bytes snapshot,Virtual memory bytes snapshot,Total committed heap usage bytes,Bytes Read,Bytes Written,Application-Type,Start-Time,Finish-Time
_1462211675523_210234,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167034,311,0,8,1,1,1598810,1,1,319762,319762,1637181440,1,0,67,0,0,0,213,10720,326889472,1366065152,502792192,0,0,,,
_1462211675523_241730,,3208843,569,hadoop06,hive2,aggregation/aggregate,populateAggregateViewTable,true,1,0,SUCCEEDED,31,0,119184,0,0,0,118332,167163,311,0,8,1,1,2757745,1,1,551549,551549,2823930880,1,0,67,0,0,0,339,13730,311054336,1356042240,497025024,0,0,MAPREDUCE,1463725271050,1463725835011
_1462211675523_211371,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,430600,1,1,86120,86120,440934400,1,0,67,0,0,0,158,8350,313831424,1366990848,506986496,0,384,,,
_1462211675523_214479,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167036,311,0,8,1,1,6268845,1,1,1253769,1253769,6419297280,1,0,67,0,0,0,288,16840,387813376,1363058688,490733568,0,0,,,
_1462211675523_245166,,6445159,1144,hadoop05,hive2,aggregation/aggregate,pivotSends,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167014,311,0,8,1,1,5653630,1,1,1130726,1130726,5789317120,1,0,67,0,0,0,205,15950,325050368,1362657280,473956352,0,0,MAPREDUCE,1463758613432,1463759751696
_1462211675523_208005,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167075,311,0,8,1,1,19940,1,1,3988,3988,20418560,1,0,67,0,0,0,48,3130,308965376,1360470016,508559360,0,1214,,,
_1462211675523_207477,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,423885,1,1,84777,84777,434058240,1,0,67,0,0,0,155,7230,314961920,1350656000,508035072,0,0,,,
_1462211675523_233934,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167077,311,0,8,1,1,19185,1,1,3837,3837,19645440,1,0,67,0,0,0,139,4420,308150272,1371025408,508035072,0,0,,,
_1462211675523_221864,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167032,311,0,8,1,1,2103755,1,1,420751,420751,2154245120,1,0,67,0,0,0,213,11180,325353472,1350037504,515375104,0,0,,,
_1462211675523_208918,,,,,,,,true,1,0,SUCCEEDED,31,0,119184,0,0,0,118332,167164,311,0,8,1,1,743330,1,1,148666,148666,761169920,1,0,67,0,0,0,83,7080,310390784,1355083776,497549312,0,400,,,
_1462211675523_224073,,,,,,,,true,1,0,SUCCEEDED,31,0,119244,0,0,0,118388,167016,311,0,8,1,1,2104720,1,1,420944,420944,2155233280,1,0,67,0,0,0,220,10640,323391488,1348534272,498073600,0,0,,,
_1462211675523_221365,,,,,,,,true,1,0,SUCCEEDED,31,0,118695,0,0,0,117843,166981,311,0,8,1,1,49600,1,1,9920,9920,50790400,1,0,67,0,0,0,47,6790,320049152,1348898816,511180800,0,0,,,
_1462211675523_228507,,,,,,,,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167014,311,0,8,1,1,449320,1,1,89864,89864,460103680,1,0,67,0,0,0,137,8880,311906304,1347506176,508559360,0,0,,,
_1462211675523_215575,,,,,,,,true,1,0,SUCCEEDED,31,0,119541,0,0,0,118685,167089,311,0,8,1,1,4207255,1,1,841451,841451,4308229120,1,0,67,0,0,0,199,13060,379715584,1355481088,478674944,0,0,,,
_1462211675523_210331,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,1335860,1,1,267172,267172,1367920640,1,0,67,0,0,0,230,10320,316403712,1364512768,510132224,0,0,,,
_1462211675523_224229,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167077,311,0,8,1,1,32180,1,1,6436,6436,32952320,1,0,67,0,0,0,170,4500,299425792,1360465920,508035072,0,0,,,
_1462211675523_208243,,,,,,,,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167013,311,0,8,1,1,388235,1,1,77647,77647,397552640,1,0,67,0,0,0,65,6560,316604416,1358032896,506986496,0,384,,,
_1462211675523_205331,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167077,311,0,8,1,1,13135,1,1,2627,2627,13450240,1,0,67,0,0,0,47,3300,302374912,1358135296,508559360,0,0,,,
_1462211675523_210813,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,1021080,1,1,204216,204216,1045585920,1,0,67,0,0,0,120,8270,327622656,1368031232,511705088,0,0,,,
_1462211675523_224952,,,,,,,,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167015,311,0,8,1,1,2280010,1,1,456002,456002,2334730240,1,0,67,0,0,0,360,13600,317124608,1354059776,499122176,0,0,,,
_1462211675523_242429,,136136,24,hadoop05,hive2,aggregation/aggregate,createArchiveViews,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167075,311,0,8,1,1,25360,1,1,5072,5072,25968640,1,0,67,0,0,0,73,4220,308256768,1366536192,508559360,0,0,MAPREDUCE,1463731638131,1463731656792
_1462211675523_217561,,,,,,,,true,1,0,SUCCEEDED,31,0,119512,0,0,0,118656,167012,311,0,8,1,1,460635,1,1,92127,92127,471690240,1,0,67,0,0,0,153,8830,317693952,1346772992,506986496,0,1214,,,
