Job ID,parent,MB-seconds,vcore-seconds,AM Host,WF-Type,WF-Name,Application-Name,Uber job,Number of maps,Number of reduces,Job state,Counters,FILE Number of bytes read,FILE Number of bytes written,FILE Number of read operations,FILE Number of large read operations,FILE Number of write operations,HDFS Number of bytes read,HDFS Number of bytes written,HDFS Number of read operations,HDFS Number of large read operations,HDFS Number of write operations,Launched map tasks,Other local map tasks,Total time spent by all maps in occupied slots ms,TOTAL_LAUNCHED_UBERTASKS,NUM_UBER_SUBMAPS,Total time spent by all map tasks ms,Total vcore-seconds taken by all map tasks,Total megabyte-seconds taken by all map tasks,Map input records,Map output records,Input split bytes,Spilled Records,Failed Shuffles,Merged Map outputs,GC time elapsed ms,CPU time spent ms,Physical memory bytes snapshot,Virtual memory bytes snapshot,Total committed heap usage bytes,Bytes Read,Bytes Written,Application-Type,Start-Time,Finish-Time,Launched reduce tasks,Rack-local map tasks,Total time spent by all reduces in occupied slots ms,Total time spent by all reduce tasks ms,Total vcore-seconds taken by all reduce tasks,Total megabyte-seconds taken by all reduce tasks,Map output bytes,Map output materialized bytes,Combine input records,Combine output records,Reduce input groups,Reduce shuffle bytes,Reduce input records,Reduce output records,Shuffled Maps,BAD_ID,CONNECTION,IO_ERROR,WRONG_LENGTH,WRONG_MAP,WRONG_REDUCE,Killed reduce tasks,Data-local map tasks,CREATED_FILES,DESERIALIZE_ERRORS,RECORDS_IN,RECORDS_OUT_0,RECORDS_OUT_INTERMEDIATE,SKEWJOINFOLLOWUPJOBS,RECORDS_OUT_1_default.a_activity,RECORDS_OUT_1_default.v_activity,RECORDS_OUT_1_default.r_activity_archive_parquet,RECORDS_OUT_1_default.r_send_archive_parquet,Failed reduce tasks
_1462211675523_242051,,577646,102,hadoop02,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,432390,1,1,86478,86478,442767360,1,0,67,0,0,0,170,8280,320184320,1359237120,509083648,0,0,MAPREDUCE,1463728157753,1463728254452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_228598,_1462211675523_228482,,,,,,,false,81,354,SUCCEEDED,57,6378657200,14094706588,0,0,0,23738002633,358787,3546,0,708,81,,18482115,,,3696423,3696423,18925685760,284144517,283998930,89642,567997860,0,28674,59391,7380930,375642677248,3841306959872,952011587584,0,0,,,,355,24,52304680,5230468,5230468,53559992320,24437808695,7607067083,0,0,283998930,7607067083,283998930,0,28674,0,0,0,0,0,0,1,57,354,0,284144517,6261,283998930,0,,,,,
_1462211675523_237961,_1462211675523_237955,180021,52,hadoop02,,,,false,1,1,SUCCEEDED,49,20,518915,0,0,0,22785,2,8,0,1,1,,21740,,,4348,4348,22261760,0,0,305,0,0,1,149,4980,1489035264,14857457664,4116709376,0,0,MAPREDUCE,1463691136272,1463691164871,1,1,97460,9746,9746,99799040,0,16,0,0,0,16,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
_1462211675523_226831,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167016,311,0,8,1,1,3860705,1,1,772141,772141,3953361920,1,0,67,0,0,0,404,15820,359063552,1354833920,488636416,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_221900,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167034,311,0,8,1,1,5090960,1,1,1018192,1018192,5213143040,1,0,67,0,0,0,226,15640,319328256,1361428480,476577792,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_209098,_1462211675523_209015,,,,,,,false,34,140,SUCCEEDED,57,1430015793,3051919724,0,0,0,9368150439,294241896,1358,0,280,34,,19864385,,,3972877,3972877,20341130240,132058230,70480985,59748,140961970,0,4760,42515,5349410,150449471488,1528921780224,365550370816,0,0,,,,141,5,37398250,3739825,3739825,38295808000,6154254252,1577189459,0,0,70480985,1577189459,70480985,0,4760,0,0,0,0,0,0,1,29,140,0,132058230,1655627,70480985,0,,,,,
_1462211675523_208946,_1462211675523_208918,,,,,,,false,1,1,SUCCEEDED,54,4562213,9643221,0,0,0,32633197,4363548,15,0,4,1,,80350,,,16070,16070,82278400,253063,253063,465,506126,0,1,204,26050,1928814592,14868639744,4654628864,0,0,,,,1,1,138200,13820,13820,141516800,30525419,4562209,0,0,1,4562209,253063,0,1,0,0,0,0,0,0,,,1,0,253063,,253063,,,253063,,,
_1462211675523_233822,_1462211675523_233820,,,,,,,false,1,1,SUCCEEDED,54,10652384,21816695,0,0,0,27598164,61832021,706,0,2,1,,211960,,,42392,42392,217047040,2341984,476804,17068,953608,0,1,305,58450,2802540544,14847303680,5078253568,0,0,,,,1,1,149260,14926,14926,152842240,81974815,10652380,0,0,429342,10652380,476804,0,1,0,0,0,0,0,0,,,1,0,2341984,429342,476804,,,,,,
_1462211675523_220939,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,589430,1,1,117886,117886,603576320,1,0,67,0,0,0,239,9030,323817472,1366614016,510132224,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_234284,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167014,311,0,8,1,1,446950,1,1,89390,89390,457676800,1,0,67,0,0,0,112,8350,310661120,1359065088,506986496,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
